subheading	Pathogen 	Disease 	Tick vectors 	Geographical distribution 	Host species affected 	References 
Bacteria	Borrelia mazzottii 	New World tick-borne relapsing fever 	Ornithodoros talaje 	USA, Mexico 		18, 38 
Bacteria	Borrelia venezuelensis 	New World tick-borne relapsing fever 	Ornithodoros rudis 	Central and South 	Human 	18, 33, 38 
Bacteria	Borrelia duttonii 	Old World tick-borne relapsing fever 	Ornithodoros moubata 	Africa 	Human 	18, 33, 38 
Bacteria	Borrelia crocidurae 	Old World tick-borne relapsing fever 	Ornithodoros erraticus13 	Europe, Africa 	Human 	18, 33, 38 
Bacteria	Borrelia persica 	Persian relapsing fever 	Ornithodoros tholozani 	Asia 	Human 	18, 33, 38 
Bacteria	Borrelia hispanica 	Old World tick-borne relapsing fever 	Ornithodoros erraticus 	Spain, Portugal 	Human 	18, 33, 38 
Bacteria	Borrelia latyschevii 	Old World tick-borne relapsing fever 	Ornithodoros tartakovskyi 	Iran, Central Asia 	Human 	18, 33, 38 
Bacteria	Borrelia caucasica 	Old World tick-borne relapsing fever 	Ornithodoros aspersus 	Asia (Caucasus and Iraq) 	Human 	18, 33, 38 
Bacteria	Borrelia graingeri 		Ornithodoros graingeri 	Africa 	Human 	18
Bacteria	Borrelia anserina 	Avian borreliosis 	Argas spp. 	Worldwide 	Birds 	38
Bacteria	Borrelia tillae 		Ornihodoros zumpti 	Africa 	Human 	42
Bacteria	Borrelia coraciae 	Bovine epizootic abortion 	Ornithodoros coriaceus 	USA 	Cattle 	33, 38 
Bacteria	Borrelia parkeri 		Ornithodoros parkeri 	USA 	Human 	42
Bacteria	Dermatophilus congolensis 	Dermatophilosis 	Amblyomma variegatum^14 	Africa 	Ruminants 	3
Viruses	Crimean-Congo Hemorrhagic Fever virus 	Crimean-Congo Hemorrhagic Fever virus 	Hyalomma marginatum, Hy. a. anatolicum, Hy. truncatum, Amblyommma variegatum, Haemaphysalis punctata, Ixodes ricinus, Dermacemtor spp., Rhipicephalus spp. 	Africa, Asia, Europe 	Human 	3, 33, 43, 44
Viruses	Nairobi Sheep Disease 	Nairobi Sheep Disease 	Rhipicephalus appendiculatus, R. pulchelus, Amblyomma variegatum 	Kenya, Uganda, Rwanda, Tanzania, Somalia 	Sheep, goats 	45
Viruses	Soldado virus 	Soldado virus 	Ornithodoros maritimus, O. capensis, O. denmarki 	Trinidad, Hawaii, Seychelles, Ethiopia, South Africa, Morocco, France, United Kingdom 	Human 	33, 44 
Viruses	Issyk-Kul fever virus 	Issyk-Kul fever virus 	Argas vespertilionis, A. pusillus, Ixodes vespertilionis^15 	Tadzhikistan, Kyrgyzstan, Turkmenistan 	Bats, human 	46
Viruses	Eyach virus 	Eyach virus 	Ixodes ricinus, I. ventalloi 	Europe 	Human 	44
Viruses	Colorado tick fever 	Colorado tick fever 	Dermacentor andersoni, D. occidentalis, D. albipictus 	Nearctic 	Human 	44
Viruses	Mono Lake virus 	Mono Lake virus 	Argas monolakensis, A. cooleyi Amblyomma spp., Boophilus spp., 	USA 	Human 	33, 47, 48,49 
Viruses	Thogotovirus 		Hyalomma spp., Rhipicephalus spp. 	Central and East Africa, southern Europe 	Sheep, human 	44, 50 
Viruses	Omsk Hemorrhagic fever virus	Omsk Hemorrhagic fever 	Dermacentor reticulatus 	Omsk and Novosibirsk regions of western Siberia (Russia) 	Human 	33, 44 
Viruses	Tick Borne Encephalitis virus	Tick Borne Encephalitis 	Ixodes ricinus, I. persulcatus, Haemaphysalis concinna, H. punctata 	Europe, Asia 	Human 	33, 44 
Viruses	Langat virus 	Langat virus 	Ixodes granulatus, Haemaphysalis papuana 	Malaysia 	Wild rodents 	51
Viruses	Louping ill virus	Louping ill 	Ixodes ricinus 	United Kingdom 	Sheep 	52
Viruses	Powassan Encephalitis virus	Powassan Encephalitis 	Ixodes cookie, I. marxi, I. scapularis, Dermacentor andersoni 	Canada, USA, Russia 	Human, rodents 	3, 44, 53 
Viruses	Kyasanur Forest disease virus	Kyasanur Forest disease 	Haemaphysalis spp. (mainly H. spinigera and H. turturis) 	Forested areas of the Kyasanur district in India 	Human, monkeys 	54
Viruses	African Swine Fever virus	African Swine Fever 	Ornithodoros moubata, O. erraticus, O. turicata, O. coriaceus, O. puertoricensis^16 	Africa, sourthern Europe, Caribbean (outbreaks in Brazil, likely imported) 	Domestic pigs 	44, 55 
Nematoda	Acanthocheilonema viteae		Ornithodoros tartakovskyi 	Asia 	Rodents 	17
Nematoda	Acanthocheilonema dracunculoides		Rhipicephalus sanguineus 		Dogs 	57

