pathogen	url
Eastern (Western) equine encephalitis virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/equine-eng.php
Ebola virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/ebola-eng.php
Echinococcus granulosus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds54e-eng.php
Echinococcus multilocularis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds55e-eng.php
Echovirus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds56e-eng.php
Edwardsiella tarda	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/edwardsiella-tarda-eng.php
Entamoeba histolytica	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds58e-eng.php
Enterobacter spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/enterobacter-eng.php
Enterococcus faecalis and faecium	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/enterococcus-eng.php
Enterovirus 70	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/enterovirus-70-eng.php
Epidermophyton floccosum, Microsporum spp. Trichophyton spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/epidermophyton-eng.php
Epstein-Barr virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/epstein-barr-eng.php
Escherichia coli, enterohemorrhagic	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds63e-eng.php
Escherichia coli, enteroinvasive	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/escherichia-coli-eng.php
Escherichia coli, enteropathogenic	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/escherichia-coli-pa-eng.php
Escherichia coli, enterotoxigenic	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/escherichia-coli-tox-eng.php
Fasciola hepatica	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/fasciola-eng.php
Francisella tularensis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds68e-eng.php
Fusobacterium spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/fusobacterium-eng.php
Gemella haemolysans	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/gemella-eng.php
Giardia lamblia	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/giardia-lamblia-eng.php
Haemophilus ducreyi	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/hea-ducreyi-eng.php
Haemophilus influenzae (group b)	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/haemophilus-influenzae-eng.php
Hantavirus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/hantavirus-eng.php
Helicobacter pylori	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/heli-pylori-eng.php
Hepatitis A virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/hepa-eng.php
Hepatitis B virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/hepatitis-b-eng.php
Hepatitis C virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/hepc-eng.php
Hepatitis D virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/hepd-eng.php
Hepatitis E virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/hepe-eng.php
Herpes simplex virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/herpes-eng.php
Herpesvirus simiae	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/herpes-cerco-eng.php
Histoplasma capsulatum	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/histoplasma-capsulatum-eng.php
Human coronavirus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/coronavirus-eng.php
Human immunodeficiency virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/hiv-vih-eng.php
Human papillomavirus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/papillome-eng.php
Human parainfluenza virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/parainfluenza-eng.php
Human rotavirus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/rotavirus-eng.php
Human T-lymphotrophic virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/lympho-eng.php
Influenza A virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/influenza-grippe-a-eng.php
Influenza Virus TypeÂ A	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/influenza-a-eng.php
Influenza Virus (B and C)	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/influenza-grippe-b-c-eng.php
Japanese encephalitis virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds173e-eng.php
Junin virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/junin-eng.php
Klebsiella spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/klebsiella-eng.php
Kyasanur Forest disease virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/kyasanur-eng.php
Lactobacillus spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/lactobacillus-spp-eng.php
Lassa virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/lassa-eng.php
Legionella pneumophila	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/legionella-eng.php
Leishmania spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/leishmania-eng.php
Leptospira interrogans	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds95e-eng.php
Listeria monocytogenes	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/listeria-monocytogenes-eng.php
Lymphocytic choriomeningitis virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/lymp-cho-eng.php
Machupo virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/machupo-eng.php
Marburg virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/marburg-eng.php
Mayaro virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds171e-eng.php
Measles virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/measles-rougeole-eng.php
