group	pathogen	note
helminths	Ascocotyle sp.	zoonotic
helminths	Australobilharzia terrigalensis	zoonotic
helminths	Baylisascaris procyonis	zoonotic
helminths	Bertiella mucronata	zoonotic
helminths	Bertiella studeri	zoonotic
helminths	Bilharziella polonica	zoonotic
helminths	Bolbosoma sp.	zoonotic
helminths	Brugia beaveri	zoonotic
helminths	Brugia guyanensis	zoonotic
helminths	Brugia malayi	zoonotic
helminths	Brugia pahangi	zoonotic
helminths	Brugia timori	
helminths	Bunostomum phlebotomum	zoonotic
helminths	Calodium hepaticum	zoonotic
helminths	Carneocephallus brevicaea	zoonotic
helminths	Cathaemasia cabrerai	zoonotic
helminths	Centrocestus armatus	zoonotic
helminths	Centrocestus formosanus	zoonotic
helminths	Cheilospirura sp.	zoonotic
helminths	Clinostomum complanatum	zoonotic
helminths	Contracaecum osculatum	zoonotic
helminths	Corynosoma strumosum	zoonotic
helminths	Cryptocotyle lingua	zoonotic
helminths	Cyclodontostomum purvisi	zoonotic
helminths	Dicrocoelium dendriticum	zoonotic
helminths	Dicrocoelium hospes	zoonotic
helminths	Dioctophyme renale	zoonotic
helminths	Dipetalonema arbuta	zoonotic
helminths	Dipetalonema reconditum	zoonotic
helminths	Diphyllobothrium cameroni	zoonotic
helminths	Diphyllobothrium cordatum	zoonotic
helminths	Diphyllobothrium dalliae	zoonotic
helminths	Diphyllobothrium dendriticum	zoonotic
helminths	Diphyllobothrium elegans	zoonotic
helminths	Diphyllobothrium erinaceieuropaei	zoonotic
helminths	Diphyllobothrium hians	zoonotic
helminths	Diphyllobothrium houghtoni	zoonotic
helminths	Diphyllobothrium klebanovskii	zoonotic
helminths	Diphyllobothrium lanceolatum	zoonotic
helminths	Diphyllobothrium latum	zoonotic
helminths	Diphyllobothrium mansonoides	zoonotic
helminths	Diphyllobothrium nihonkaiense	zoonotic
helminths	Diphyllobothrium orcini	zoonotic
helminths	Diphyllobothrium pacificum	zoonotic
helminths	Diphyllobothrium scoticum	zoonotic
helminths	Diphyllobothrium stemmacephalum	zoonotic
helminths	Diphyllobothrium theileri	zoonotic
helminths	Diplogonoporus balaenopterae	zoonotic
helminths	Diplogonoporus brauni	zoonotic
helminths	Diplogonoporus fukuokaensis	zoonotic
helminths	Diplostomum spathaceum	zoonotic
helminths	Dipylidium caninum	zoonotic
helminths	Dirofilaria immitis	zoonotic
helminths	Dirofilaria repens	zoonotic
helminths	Dirofilaria striata	zoonotic
helminths	Dirofilaria subdermata	zoonotic
helminths	Dirofilaria tenuis	zoonotic
helminths	Dirofilaria ursi	zoonotic
helminths	Dracunculus insignis	zoonotic
helminths	Dracunculus medinensis	zoonotic
helminths	Drepanidotaenia lanceolata	zoonotic
helminths	Echinochasmus japonicus	zoonotic
helminths	Echinochasmus jiufoensis	zoonotic
helminths	Echinochasmus perfoliatus	zoonotic
helminths	Echinococcus granulosus	zoonotic, emerging
helminths	Echinococcus multilocularis	zoonotic
helminths	Echinococcus oligarthus	zoonotic
helminths	Echinococcus vogeli	zoonotic
helminths	Echinoparyphium recurvatum	zoonotic
helminths	Echinostoma cinetorchis	zoonotic
helminths	Echinostoma echinatum	zoonotic
helminths	Echinostoma hortense	zoonotic
helminths	Echinostoma ilocanum	zoonotic
helminths	Echinostoma jassyense	zoonotic
helminths	Echinostoma macrorchis	zoonotic
helminths	Echinostoma malayanum	zoonotic
helminths	Echinostoma revolutum	zoonotic
helminths	Enterobius gregorii	zoonotic
helminths	Enterobius vermicularis	zoonotic
helminths	Episthmium caninum	zoonotic
helminths	Eucoleus aerophilus	zoonotic
helminths	Eurytrema pancreaticum	zoonotic
helminths	Eustrongylides sp.	zoonotic
helminths	Fasciola gigantica	zoonotic
helminths	Fasciola hepatica	zoonotic
helminths	Fasciola indica	zoonotic
helminths	Fasciolopsis buski	zoonotic
helminths	Fibricola seoulensis	zoonotic
helminths	Gastrodiscoides hominis	zoonotic
helminths	Gigantobilharzia huttoni	zoonotic
helminths	Gigantobilharzia sturniae	zoonotic
helminths	Gnathostoma doloresi	zoonotic
helminths	Gnathostoma hispidum	zoonotic
helminths	Gnathostoma nipponicum	zoonotic
helminths	Gnathostoma spinigerum	zoonotic
helminths	Gongylonema pulchrum	zoonotic
helminths	Gymnophalloides sp.	zoonotic
helminths	Haemonchus contortus	zoonotic
helminths	Haplorchis pumilo	zoonotic
helminths	Haplorchis taichui	zoonotic
helminths	Haplorchis vanissima	zoonotic
helminths	Haplorchis yokogawai	zoonotic
helminths	Heterobilharzia americana	zoonotic
helminths	Heterophyes dispar	zoonotic
helminths	Heterophyes heterophyes	zoonotic
helminths	Heterophyes nocens	zoonotic
helminths	Heterophyopsis continua	zoonotic
helminths	Himasthala muehlensi	zoonotic
helminths	Hymenolepis diminuta	zoonotic
helminths	Hymenolepis nana	zoonotic
helminths	Hypoderaeum conoideum	zoonotic
helminths	Inermicapsifer madagascariensis	zoonotic
helminths	Isoparorchis hypselobagri	zoonotic
helminths	Lagochilascaris minor	zoonotic
helminths	Ligula intestinalis	zoonotic
helminths	Loa loa	zoonotic, emerging
helminths	Macracanthorhynchus hirudinaceus	zoonotic
helminths	Macracanthorhynchus ingens	zoonotic
helminths	Mammomonogamus laryngeus	zoonotic
helminths	Mammomonogamus nasicola	zoonotic
helminths	Mansonella ozzardi	
helminths	Mansonella perstans	zoonotic
helminths	Mansonella rodhaini	zoonotic
helminths	Mansonella semiclarum	
helminths	Mansonella streptocerca	zoonotic
helminths	Marshallagia marshalli	zoonotic
helminths	Mathevotaenia symmetrica	zoonotic
helminths	Mecistocirrus digitatus	zoonotic
helminths	Meningonema peruzzii	zoonotic
helminths	Mesocestoides lineatus	zoonotic
helminths	Mesocestoides variabilis	zoonotic
helminths	Metagonimus minutus	zoonotic
helminths	Metagonimus yokogawai	zoonotic
helminths	Metastrongylus elongatus	zoonotic
helminths	Metorchis albidus	zoonotic
helminths	Metorchis conjunctus	zoonotic, emerging
helminths	Microfilaria bolivarensis	zoonotic
helminths	Micronema deletrix	zoonotic
helminths	Moniezia expansa	zoonotic
helminths	Moniliformis moniliformis	zoonotic
helminths	Multiceps brauni	zoonotic
helminths	Multiceps glomeratus	zoonotic
helminths	Multiceps longihamatus	zoonotic
helminths	Multiceps multiceps	zoonotic
helminths	Multiceps serialis	zoonotic
helminths	Nanophyetus salmincola	zoonotic
helminths	Necator americanus	zoonotic
helminths	Nematodirus abnormalis	zoonotic
helminths	Neodiplostomum sp.	zoonotic
helminths	Oesophagostomum aculeatum	zoonotic
helminths	Oesophagostomum bifurcum	zoonotic
helminths	Oesophagostomum stephanostomum	zoonotic
helminths	Onchocerca volvulus	zoonotic, emerging
helminths	Opisthorchis felineus	zoonotic
helminths	Opisthorchis guayaquilensis	zoonotic
helminths	Opisthorchis noverca	zoonotic
helminths	Opisthorchis sinensis	zoonotic
helminths	Opisthorchis viverrini	zoonotic
helminths	Orientobilharzia turkestanica	zoonotic
helminths	Ornithobilharzia sp.	zoonotic
helminths	Ostertagia ostertagi	zoonotic
helminths	Paragonimus africanus	zoonotic
helminths	Paragonimus bankokensis	zoonotic
helminths	Paragonimus caliensis	zoonotic
helminths	Paragonimus heterotremus	zoonotic
helminths	Paragonimus hueit'ungensis	zoonotic
helminths	Paragonimus kellicotti	zoonotic
helminths	Paragonimus mexicanus	zoonotic
helminths	Paragonimus miyazakii	zoonotic
helminths	Paragonimus ohirai	zoonotic
helminths	Paragonimus phillipinensis	zoonotic
helminths	Paragonimus sadoensis	zoonotic
helminths	Paragonimus siamensis	zoonotic
helminths	Paragonimus skrjabini	zoonotic
helminths	Paragonimus uterobilateralis	zoonotic
helminths	Paragonimus westermani	zoonotic
helminths	Parascaris equorum	zoonotic
helminths	Parastrongylus cantonensis	zoonotic
helminths	Parastrongylus costaricensis	zoonotic
helminths	Pearsonema plica	zoonotic
helminths	Pelodera strongyloides	zoonotic
helminths	Phaneropsolus bonnei	zoonotic
helminths	Philophthalmus lacrymosus	zoonotic
helminths	Phocanema decipiens	zoonotic
helminths	Physaloptera caucasica	zoonotic
helminths	Physaloptera transfuga	zoonotic
helminths	Plagiorchis harinasutai	zoonotic
helminths	Plagiorchis javensis	zoonotic
helminths	Plagiorchis muris	zoonotic
helminths	Plagiorchis philippinensis	zoonotic
helminths	Poikilorchis congolensis	zoonotic
helminths	Procerovum calderoni	zoonotic
helminths	Prohemistomum vivax	zoonotic
helminths	Prosthodendrium molenkampi	zoonotic
helminths	Pseudamphistomum aethiopicum	zoonotic
helminths	Pseudamphistomum truncatum	zoonotic
helminths	Psilorchis hominis	zoonotic
helminths	Pygidiopsis summa	zoonotic
helminths	Pyramicocephalus anthrocephalus	zoonotic
helminths	Raillietina celebensis	zoonotic
helminths	Raillietina demerariensis	zoonotic
helminths	Rhabditis elongata	
helminths	Rhabditis inermis	
helminths	Rhabditis niellyi	
helminths	Rhabditis pellio	
helminths	Rictularia sp.	zoonotic
helminths	Schistocephalus solidus	zoonotic
helminths	Schistosoma bovis	zoonotic
helminths	Schistosoma haematobium	zoonotic
helminths	Schistosoma intercalatum	zoonotic
helminths	Schistosoma japonicum	zoonotic
helminths	Schistosoma malayensis	zoonotic
helminths	Schistosoma mansoni	zoonotic, emerging
helminths	Schistosoma mattheei	zoonotic
helminths	Schistosoma mekongi	zoonotic
helminths	Schistosoma rodhaini	zoonotic
helminths	Schistosoma spindale	zoonotic
helminths	Schistosomatium douthitti	zoonotic
helminths	Setaria equina	zoonotic
helminths	Spirocerca lupi	zoonotic
helminths	Stellantchasmus falcatus	zoonotic
helminths	Stictodora fuscata	zoonotic
helminths	Strongyloides fuelleborni	zoonotic
helminths	Strongyloides papillosus	zoonotic
helminths	Strongyloides ransomi	zoonotic
helminths	Strongyloides stercoralis	zoonotic, emerging
helminths	Strongyloides westeri	zoonotic
helminths	Syphacea obvelata	zoonotic
helminths	Taenia crassiceps	zoonotic
helminths	Taenia saginata	
helminths	Taenia solium	emerging
helminths	Taenia taeniaeformis	zoonotic
helminths	Teladorsagia circumcincta	zoonotic
helminths	Ternidens deminutus	zoonotic
helminths	Thelazia californiensis	zoonotic
helminths	Thelazia callipaeda	zoonotic
helminths	Thelazia rhodesii	zoonotic
helminths	Toxascaris leonina	zoonotic
helminths	Toxocara canis	zoonotic
helminths	Toxocara cati	zoonotic
helminths	Trichinella britovi	zoonotic
helminths	Trichinella nativa	zoonotic
helminths	Trichinella nelsoni	zoonotic
helminths	Trichinella pseudospiralis	zoonotic
helminths	Trichinella spiralis	zoonotic, emerging
helminths	Trichinella T5	zoonotic
helminths	Trichobilharzia brevis	zoonotic
helminths	Trichobilharzia ocellata	zoonotic
helminths	Trichobilharzia stagnicolae	zoonotic
helminths	Trichostrongylus affinis	zoonotic
helminths	Trichostrongylus axei	zoonotic
helminths	Trichostrongylus brevis	
helminths	Trichostrongylus calcaratus	zoonotic
helminths	Trichostrongylus capricola	zoonotic
helminths	Trichostrongylus colubriformis	zoonotic
helminths	Trichostrongylus instabilis	
helminths	Trichostrongylus lerouxi	zoonotic
helminths	Trichostrongylus orientalis	zoonotic
helminths	Trichostrongylus probolurus	zoonotic
helminths	Trichostrongylus skrjabini	zoonotic
helminths	Trichostrongylus vitrinus	zoonotic
helminths	Trichuris suis	zoonotic
helminths	Trichuris trichiura	zoonotic
helminths	Trichuris vulpis	zoonotic
helminths	Uncinaria stenocephala	zoonotic
helminths	Watsonius watsoni	zoonotic
helminths	Wuchereria bancrofti	emerging
helminths	Wuchereria lewisi	
protozoa	Acanthamoeba astronyxis	
protozoa	Acanthamoeba castellani	zoonotic
protozoa	Acanthamoeba culbertsoni	zoonotic
protozoa	Acanthamoeba hatchetti	
protozoa	Acanthamoeba palestinensis	
protozoa	Acanthamoeba polyphaga	
protozoa	Acanthamoeba rhysoides	
protozoa	Babesia bovis	zoonotic
protozoa	Babesia divergens	zoonotic
protozoa	Babesia gibsoni	zoonotic
protozoa	Babesia microti	zoonotic, emerging
protozoa	Balamuthia mandrillaris	
protozoa	Balantidium coli	zoonotic
protozoa	Blastocystis hominis	zoonotic
protozoa	Cryptosporidium parvum	zoonotic, emerging
protozoa	Cyclospora cayetanensis	zoonotic, emerging
protozoa	Dientamoeba fragilis	zoonotic
protozoa	Encephalitozoon cuniculi	zoonotic, emerging
protozoa	Encephalitozoon hellem	emerging
protozoa	Encephalitozoon intestinalis	emerging
protozoa	Entamoeba chattoni	zoonotic
protozoa	Entamoeba histolytica	zoonotic
protozoa	Entamoeba moshkovskii	
protozoa	Enterocytozoon bieneusi	emerging
protozoa	Giardia duodenalis	zoonotic, emerging
protozoa	Isospora belli	zoonotic, emerging
protozoa	Leishmania aethiopica	zoonotic
protozoa	Leishmania amazonensis	zoonotic
protozoa	Leishmania braziliensis	zoonotic
protozoa	Leishmania chagasi	zoonotic
protozoa	Leishmania donovani	zoonotic, emerging
protozoa	Leishmania guyanensis	zoonotic
protozoa	Leishmania infantum	zoonotic, emerging
protozoa	Leishmania lainsoni	zoonotic
protozoa	Leishmania major	zoonotic
protozoa	Leishmania mexicana	zoonotic
protozoa	Leishmania naiffi	zoonotic
protozoa	Leishmania panamensis	zoonotic
protozoa	Leishmania peruviana	zoonotic
protozoa	Leishmania pifanoi	zoonotic
protozoa	Leishmania shawi	zoonotic
protozoa	Leishmania tropica	zoonotic
protozoa	Leishmania venezuelensis	zoonotic
protozoa	Naegleria fowleri	
protozoa	Nosema africanum	
protozoa	Nosema ceylonensis	
protozoa	Nosema connori	emerging
protozoa	Nosema ocularum	
protozoa	Pentatrichomonas hominis	zoonotic
protozoa	Plasmodium falciparum	emerging
protozoa	Plasmodium knowlesi	zoonotic
protozoa	Plasmodium malariae	zoonotic
protozoa	Plasmodium ovale	
protozoa	Plasmodium simium	zoonotic
protozoa	Plasmodium vivax	emerging
protozoa	Retortamonas intestinalis	zoonotic
protozoa	Sarcocystis hominis	
protozoa	Sarcocystis lindermanni	zoonotic
protozoa	Sarcocystis suihominis	
protozoa	Toxoplasma gondii	zoonotic, emerging
protozoa	Trachipleistophora hominis	emerging
protozoa	Trichomonas tenax	zoonotic
protozoa	Trichomonas vaginalis	emerging
protozoa	Trypanosoma brucei	zoonotic, emerging
protozoa	Trypanosoma cruzi	zoonotic, emerging
protozoa	Vittaforma corneae	
virus	Andes virus	zoonotic, emerging
virus	Apoi virus	zoonotic
virus	Australian bat lyssavirus	zoonotic, emerging
virus	B19 virus	emerging
virus	Bagaza virus	zoonotic
virus	Bangui virus	zoonotic
virus	Banna virus	zoonotic, emerging
virus	Banzi virus	zoonotic
virus	Barmah Forest virus	zoonotic, emerging
virus	Batken virus	zoonotic
virus	Bayou virus	zoonotic
virus	Bebaru virus	zoonotic
virus	Bhanja virus	zoonotic
virus	BK virus	
virus	Black creek canal virus	zoonotic
virus	Borna disease virus	zoonotic
virus	Bovine Ephemeral Fever virus	zoonotic
virus	Bovine Papular Stomatitis virus	zoonotic
virus	BSE agent	zoonotic, emerging
virus	Buffalopox virus	zoonotic
virus	Bunyamwera virus	zoonotic
virus	Bussuquara virus	zoonotic
virus	Bwamba virus	zoonotic
virus	California encephalitis virus	zoonotic, emerging
virus	Candiru virus complex	zoonotic
virus	Caraparu virus	zoonotic
virus	Catu virus	zoonotic
virus	Cercopithecine herpes virus 1	zoonotic, emerging
virus	Chandipura virus	zoonotic
virus	Changuinola virus	zoonotic
virus	Chikungunya virus	zoonotic, emerging
virus	Chim virus	zoonotic
virus	CJD agent	
virus	Colorado tick fever virus	zoonotic
virus	Cote d'Ivoire Ebola virus	zoonotic
virus	Cowpox virus	zoonotic
virus	Crimean-Congo haemorrhagic fever virus	zoonotic, emerging
virus	Dakar bat virus	zoonotic
virus	Dengue virus	zoonotic, emerging
virus	Dhori virus	zoonotic
virus	Dobrava-Belgrade virus	zoonotic
virus	Dugbe virus	zoonotic
virus	Duvenhage virus	zoonotic
virus	Eastern equine encephalitis virus	zoonotic, emerging
virus	Edge Hill virus	zoonotic
virus	Encephalomyocarditis virus	zoonotic
virus	European bat lyssavirus 1	zoonotic
virus	European bat lyssavirus 2	zoonotic
virus	European Tick-borne encephalitis virus	zoonotic, emerging
virus	Everglades virus	zoonotic
virus	Eyach virus	zoonotic
virus	Far eastern Tick-borne encephalitis virus	zoonotic, emerging
virus	Foot and mouth disease virus	zoonotic
virus	Gan gan virus	zoonotic
virus	Getah virus	zoonotic
virus	Guama virus	zoonotic, emerging
virus	Guanarito virus	zoonotic, emerging
virus	Guaroa virus	zoonotic
virus	Hantaan virus	zoonotic, emerging
virus	Hendra virus	zoonotic, emerging
virus	Hepatitis A virus	zoonotic, emerging
virus	Hepatitis B virus	emerging
virus	Hepatitis C virus	emerging
virus	Hepatitis delta virus	
virus	Hepatitis E virus	zoonotic, emerging
virus	Hepatitis G virus	emerging
virus	HU39694 virus	zoonotic
virus	Hughes virus	zoonotic
virus	Human adenovirus A	
virus	Human adenovirus B	
virus	Human adenovirus C	
virus	Human adenovirus D	
virus	Human adenovirus E	
virus	Human adenovirus F	
virus	Human astrovirus	emerging
virus	Human Coronavirus 229E	
virus	Human Coronavirus OC43	
virus	Human enterovirus 68	
virus	Human enterovirus 70	
virus	Human enterovirus A	
virus	Human enterovirus B	emerging
virus	Human enterovirus C	
virus	Human enterovirus D	
virus	Human Herpesvirus 1	emerging
virus	Human Herpesvirus 2	emerging
virus	Human Herpesvirus 3	emerging
virus	Human Herpesvirus 4	
virus	Human Herpesvirus 5	emerging
virus	Human Herpesvirus 6	
virus	Human Herpesvirus 7	
virus	Human Herpesvirus 8	emerging
virus	Human Immunodeficiency Virus 1	emerging
virus	Human Immunodeficiency Virus 2	emerging
virus	Human papillomavirus	emerging
virus	Human parainfluenza virus 1	
virus	Human parainfluenza virus 2	
virus	Human parainfluenza virus 3	
virus	Human parainfluenza virus 4	
virus	Human parechovirus type 1	
virus	Human parechovirus type 2	
virus	Human Respiratory Syncytial virus	
virus	Human Rhinovirus A	
virus	Human Rhinovirus B	
virus	Human T-Lymphotropic Virus 1	emerging
virus	Igbo-ora virus	zoonotic
virus	Ilheus virus	zoonotic
virus	Influenza A virus	zoonotic, emerging
virus	Influenza B virus	zoonotic
virus	Influenza C virus	zoonotic
virus	Issyk-Kul virus	zoonotic
virus	Japanese encephalitis virus	zoonotic, emerging
virus	JC virus	
virus	Junin virus	zoonotic, emerging
virus	Juquitiba virus	zoonotic
virus	Kairi virus	zoonotic
virus	Kasokero virus	zoonotic
virus	Kedougou virus	zoonotic
virus	Kemerovo virus	zoonotic
virus	Kokobera virus	zoonotic
virus	Koutango virus	zoonotic
virus	Kyasanur forest disease virus	zoonotic, emerging
virus	Laguna Negra virus	zoonotic, emerging
virus	Lanjan virus	zoonotic
virus	Lassa virus	zoonotic, emerging
virus	Lebombo virus	zoonotic
virus	Lechiguanas virus	zoonotic
virus	Louping ill virus	zoonotic
virus	Lymphocytic choriomeningitis virus	zoonotic
virus	Machupo virus	zoonotic, emerging
virus	Madrid virus	zoonotic
virus	Marburg virus	zoonotic, emerging
virus	Marituba virus	zoonotic
virus	Mayaro virus	zoonotic, emerging
virus	Measles virus	zoonotic, emerging
virus	Menangle virus	zoonotic, emerging
virus	Mokola virus	zoonotic
virus	Molluscum contagiosum virus	
virus	Monkeypox virus	zoonotic, emerging
virus	Monongahela virus	zoonotic
virus	Mucambo virus	zoonotic
virus	Mumps virus	
virus	Murray Valley encephalitis virus	zoonotic, emerging
virus	New York virus	zoonotic
virus	Newcastle disease virus	zoonotic
virus	Nipah virus	zoonotic, emerging
virus	Norwalk virus	emerging
virus	Nyando virus	zoonotic
virus	Ockelbo virus	zoonotic
virus	Omsk haemorrhagic fever virus	zoonotic
virus	O'nyong-nyong virus	zoonotic, emerging
virus	Oran virus	zoonotic
virus	Orf virus	zoonotic
virus	Oriboca virus	zoonotic
virus	Oropouche virus	zoonotic, emerging
virus	Orungo virus	zoonotic
virus	Phnom-Penh bat virus	zoonotic
virus	Picobirnavirus	emerging
virus	Piry virus	zoonotic
virus	Poliovirus	emerging
virus	Powassan virus	zoonotic
virus	Pseudocowpox virus	zoonotic
virus	Punta Toro virus	zoonotic
virus	Puumala virus	zoonotic, emerging
virus	Quaranfil Virus	zoonotic
virus	Rabies virus	zoonotic, emerging
virus	Reston Ebola virus	zoonotic, emerging
virus	Rift Valley fever virus	zoonotic, emerging
virus	Rio Bravo virus	zoonotic
virus	Rocio virus	zoonotic, emerging
virus	Ross River virus	zoonotic, emerging
virus	Rotavirus A	zoonotic, emerging
virus	Rotavirus B	zoonotic, emerging
virus	Rotavirus C	zoonotic, emerging
virus	Rotavirus D	zoonotic
virus	Rotavirus E	zoonotic
virus	Rotavirus F	zoonotic
virus	Royal Farm virus	zoonotic
virus	Rubella virus	
virus	Sabio virus	zoonotic, emerging
virus	Saimiriine herpesvirus 1	zoonotic
virus	Salehabad virus	zoonotic, emerging
virus	Sandfly fever Naples virus	zoonotic, emerging
virus	Sandfly fever virus group	zoonotic
virus	Saumarez Reef virus	zoonotic
virus	Sealpox virus	zoonotic
virus	Semliki Forest virus	zoonotic
virus	Seoul virus	zoonotic, emerging
virus	Sepik virus	zoonotic
virus	Sin Nombre virus	zoonotic, emerging
virus	Sindbis virus	zoonotic, emerging
virus	St. Louis encephalitis virus	zoonotic, emerging
virus	Sudan Ebola virus	zoonotic
virus	Suid herpesvirus 1	zoonotic
virus	Swine vesicular disease virus	zoonotic
virus	Tacaiuma virus	zoonotic
virus	Tamdy virus	zoonotic
virus	Tanapox virus	zoonotic
virus	Tataguine virus	zoonotic
virus	Thogoto virus	zoonotic
virus	Trubanaman virus	zoonotic
virus	Tyuleniy virus	zoonotic
virus	Usutu virus	zoonotic
virus	Variola virus	
virus	Venezuelan Equine Encephalitis virus	zoonotic, emerging
virus	Vesicular stomatitis virus	zoonotic
virus	Wad Medani virus	zoonotic
virus	Wanowrie virus	zoonotic
virus	Wesselsbron virus	zoonotic, emerging
virus	West Nile virus	zoonotic, emerging
virus	Western Equine Encephalitis virus	zoonotic, emerging
virus	Wyeomyia virus	zoonotic
virus	Yaba monkey tumor virus	zoonotic
virus	Yellow fever virus	zoonotic, emerging
virus	Yogue virus	zoonotic
virus	Zaire Ebola virus	zoonotic, emerging
virus	Zika virus	zoonotic, emerging
virus	Zinga virus	emerging
