name	taxid	lineage	N	host
Human papillomavirus type 48	40538	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 2	1	Homo sapiens
Human papillomavirus type 49	10616	dsDNA viruses, no RNA stage; Papillomaviridae; Betapapillomavirus; Betapapillomavirus 3	1	Homo sapiens
Human papillomavirus type 5	333923	dsDNA viruses, no RNA stage; Papillomaviridae; Betapapillomavirus; Betapapillomavirus 1	1	Homo sapiens
Human papillomavirus type 50	40539	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 3	1	Homo sapiens
Human papillomavirus type 53	333765	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus; Alphapapillomavirus 6	1	Homo sapiens
Human papillomavirus type 54	1671798	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus; Alphapapillomavirus 13	1	Homo sapiens
Human papillomavirus type 60	40540	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 4	1	Homo sapiens
Human papillomavirus type 63	28311	dsDNA viruses, no RNA stage; Papillomaviridae; Mupapillomavirus; Mupapillomavirus 2	1	Homo sapiens
Human papillomavirus type 6b	10600	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus; Alphapapillomavirus 10	1	Homo sapiens
Human papillomavirus type 7	10620	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus; Alphapapillomavirus 8	1	Homo sapiens
Human papillomavirus type 88	337054	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 5	1	Homo sapiens
Human papillomavirus type 9	10621	dsDNA viruses, no RNA stage; Papillomaviridae; Betapapillomavirus; Betapapillomavirus 2	1	Homo sapiens
Human papillomavirus type 90	333769	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus; Alphapapillomavirus 14	1	Homo sapiens
Human papillomavirus type 92	211787	dsDNA viruses, no RNA stage; Papillomaviridae; Betapapillomavirus; Betapapillomavirus 4	1	Homo sapiens
Human papillomavirus type 96	247269	dsDNA viruses, no RNA stage; Papillomaviridae; Betapapillomavirus; Betapapillomavirus 5	1	Homo sapiens
Human parainfluenza virus 1	12730	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Respirovirus	1	Homo sapiens
Human parainfluenza virus 2	11212	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Rubulavirus	1	Homo sapiens
Human parainfluenza virus 3	11216	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Respirovirus	1	Homo sapiens
Human parainfluenza virus 4a	11224	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Rubulavirus; Human parainfluenza virus 4	1	Homo sapiens
Human parechovirus	195054	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Parechovirus	1	Homo sapiens
Human parvovirus 4 G1	1511919	ssDNA viruses; Parvoviridae; Parvovirinae; Tetraparvovirus; Primate tetraparvovirus 1	1	Homo sapiens
Human parvovirus B19	10798	ssDNA viruses; Parvoviridae; Parvovirinae; Erythroparvovirus; Primate erythroparvovirus 1	1	Homo sapiens
Human pegivirus 2	1729141	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Pegivirus; unclassified Pegivirus	1	Homo sapiens
Human picobirnavirus	145856	dsRNA viruses; Picobirnaviridae; Picobirnavirus	1	Homo sapiens
Human polyomavirus 12	1303334	dsDNA viruses, no RNA stage; Polyomaviridae; Polyomavirus; unclassified Polyomavirus	1	Homo sapiens
Human polyomavirus 6	746830	dsDNA viruses, no RNA stage; Polyomaviridae; Polyomavirus; unclassified Polyomavirus	1	Homo sapiens
Human polyomavirus 7	746831	dsDNA viruses, no RNA stage; Polyomaviridae; Polyomavirus; unclassified Polyomavirus	1	Homo sapiens
Human polyomavirus 9	943908	dsDNA viruses, no RNA stage; Polyomaviridae; Polyomavirus; unclassified Polyomavirus	1	Homo sapiens
Human respiratory syncytial virus	11250	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Pneumovirinae; Pneumovirus	1	Homo sapiens
Human rhinovirus B14	12131	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	1	Homo sapiens
Human rotavirus B	10942	dsRNA viruses; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus B	1	Homo sapiens
Human smacovirus 1	1595998	unclassified viruses; Smacovirusgroup	1	Homo sapiens
Ilheus virus	59563	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; mosquito-borne viruses	8	Aves; Culex; Haemagogus; Homo sapiens; Ochlerotatus; Psorophora; Sabethes; Trichoprosopon
Influenza A virus (A/California/07/2009(H1N1))	641809	ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Influenzavirus A; Influenza A virus; H1N1 subtype	1	Homo sapiens
Influenza A virus (A/Hong Kong/1073/99(H9N2))	130760	ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Influenzavirus A; Influenza A virus; H9N2 subtype	1	Homo sapiens
Influenza A virus (A/Korea/426/1968(H2N2))	488241	ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Influenzavirus A; Influenza A virus; H2N2 subtype	2	Aves; Homo sapiens
Influenza A virus (A/New York/392/2004(H3N2))	335341	ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Influenzavirus A; Influenza A virus; H3N2 subtype	1	Homo sapiens
Influenza A virus (A/Puerto Rico/8/1934(H1N1))	211044	ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Influenzavirus A; Influenza A virus; H1N1 subtype	3	Aves; Homo sapiens; Sus scrofa
Influenza A virus (A/Shanghai/02/2013(H7N9))	1332244	ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Influenzavirus A; Influenza A virus; H7N9 subtype	1	Homo sapiens
Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	93838	ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Influenzavirus A; Influenza A virus; H5N1 subtype	6	Aves; Felis catus; Homo sapiens; Panthera pardus; Panthera tigris; Sus scrofa
Influenza B virus	11520	ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Influenzavirus B	1	Homo sapiens
Influenza C virus (C/Ann Arbor/1/50)	11553	ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Influenzavirus C; Influenza C virus	2	Homo sapiens; Sus scrofa
Isfahan virus	290008	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Vesiculovirus	3	Gerbillinae; Homo sapiens; Phlebotomus papatasi
JC polyomavirus	10632	dsDNA viruses, no RNA stage; Polyomaviridae; Polyomavirus	1	Homo sapiens
Japanese encephalitis virus	11072	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; Japanese encephalitis virus group	7	Ardeidae; Bos taurus; Culex gelidus; Culex tritaeniorhynchus; Equus caballus; Homo sapiens; Sus scrofa
Junin mammarenavirus	11619	ssRNA viruses; ssRNA negative-strand viruses; Arenaviridae; Mammarenavirus	5	Akodon azarae; Bolomys; Calomys laucha; Calomys musculinus; Homo sapiens
Jurona virus	864699	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Vesiculovirus; unclassified Vesiculovirus	1	Homo sapiens
KI polyomavirus	423445	dsDNA viruses, no RNA stage; Polyomaviridae; Polyomavirus; unclassified Polyomavirus	1	Homo sapiens
Karshi virus	64287	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; tick-borne encephalitis virus group; Royal Farm virus	2	Homo sapiens; Rodentia
La Crosse virus	11577	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Orthobunyavirus; California encephalitis virus	4	Cervidae; Homo sapiens; Ochlerotatus triseriatus; Tamias
Lagos bat virus	38766	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Lyssavirus	3	Eidolon helvum; Homo sapiens; Mammalia
Langat virus	11085	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; tick-borne encephalitis virus group	2	Homo sapiens; Mus
Lassa mammarenavirus	11620	ssRNA viruses; ssRNA negative-strand viruses; Arenaviridae; Mammarenavirus	2	Homo sapiens; Mastomys natalensis
Louping ill virus	11086	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; tick-borne encephalitis virus group	8	Bos taurus; Canis lupus familiaris; Cervinae; Equus caballus; Homo sapiens; Ixodes ricinus; Ovis aries; Sus scrofa
Lujo mammarenavirus	649188	ssRNA viruses; ssRNA negative-strand viruses; Arenaviridae; Mammarenavirus	1	Homo sapiens
Lymphocytic choriomeningitis mammarenavirus	11623	ssRNA viruses; ssRNA negative-strand viruses; Arenaviridae; Mammarenavirus	3	Homo sapiens; Mesocricetus auratus; Mus musculus
Lyssavirus Ozernoe	642022	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Lyssavirus; unclassified Lyssavirus	2	Homo sapiens; Mus musculus
MSSI2.225 virus	1516081	ssDNA viruses; unclassified ssDNA viruses	1	Homo sapiens
MW polyomavirus	1203539	dsDNA viruses, no RNA stage; Polyomaviridae; Polyomavirus; unclassified Polyomavirus	1	Homo sapiens
Macacine herpesvirus 1	10325	dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Simplexvirus	5	Homo sapiens; Macaca fascicularis; Macaca leonina; Macaca mulatta; Macaca nemestrina
Macaque simian foamy virus	338478	Retro-transcribing viruses; Retroviridae; Spumaretrovirinae; Spumavirus	2	Homo sapiens; Macaca
Machupo mammarenavirus	11628	ssRNA viruses; ssRNA negative-strand viruses; Arenaviridae; Mammarenavirus	3	Calomys callosus; Chlorocebus aethiops; Homo sapiens
Mamastrovirus 1	1239565	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Astroviridae; Mamastrovirus	1	Homo sapiens
Maraba virus	1046251	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Vesiculovirus	2	Homo sapiens; Mus musculus
Marburg marburgvirus	11269	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Filoviridae; Marburgvirus	3	Chlorocebus aethiops; Homo sapiens; Rousettus aegyptiacus
Mayaro virus	59301	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Togaviridae; Alphavirus; SFV complex	3	Aedes aegypti; Haemagogus; Homo sapiens
Measles virus	11234	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Morbillivirus	1	Homo sapiens
Melaka orthoreovirus	419697	dsRNA viruses; Reoviridae; Spinareovirinae; Orthoreovirus; unclassified Orthoreovirus	2	Chiroptera; Homo sapiens
Menangle virus	152219	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Rubulavirus; unclassified Rubulavirus	5	Homo sapiens; Pteropus alecto; Pteropus conspicillatus; Pteropus poliocephalus; Sus scrofa
Merkel cell polyomavirus	493803	dsDNA viruses, no RNA stage; Polyomaviridae; Polyomavirus; unclassified Polyomavirus	1	Homo sapiens
Microviridae IME-16	1544364	ssDNA viruses; Microviridae; unclassified Microviridae	1	Homo sapiens
Middle East respiratory syndrome coronavirus	1335626	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Coronaviridae; Coronavirinae; Betacoronavirus; unclassified Betacoronavirus	2	Camelus dromedarius; Homo sapiens
Modoc virus	64300	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; Modoc virus group	2	Homo sapiens; Peromyscus maniculatus
Mokola virus	12538	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Lyssavirus	5	Canis lupus familiaris; Chodsigoa caovansunga; Felis catus; Homo sapiens; Rodentia
Molluscum contagiosum virus subtype 1	10280	dsDNA viruses, no RNA stage; Poxviridae; Chordopoxvirinae; Molluscipoxvirus; Molluscum contagiosum virus	1	Homo sapiens
Monkeypox virus Zaire-96-I-16	619591	dsDNA viruses, no RNA stage; Poxviridae; Chordopoxvirinae; Orthopoxvirus; Monkeypox virus	9	Cynomys gunnisoni; Cynomys leucurus; Cynomys ludovicianus; Cynomys mexicanus; Cynomys parvidens; Gliridae; Heliosciurus ruwenzorii; Homo sapiens; Mus musculus
Mumps virus	11161	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Rubulavirus	1	Homo sapiens
Mupapillomavirus 1	334203	dsDNA viruses, no RNA stage; Papillomaviridae; Mupapillomavirus	1	Homo sapiens
Murray Valley encephalitis virus	11079	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; Japanese encephalitis virus group	2	Culex annulirostris; Homo sapiens
New Jersey polyomavirus-2013	1497391	dsDNA viruses, no RNA stage; Polyomaviridae; Polyomavirus; unclassified Polyomavirus	1	Homo sapiens
Nipah virus	121791	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Henipavirus	7	Cynopterus brachyotis; Eonycteris spelaea; Homo sapiens; Pteropus hypomelanus; Pteropus vampyrus; Scotophilus kuhlii; Sus scrofa
Norwalk virus	11983	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Caliciviridae; Norovirus	1	Homo sapiens
Ntaya virus	64292	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; Ntaya virus group	2	Homo sapiens; Mus musculus
O'nyong-nyong virus	11027	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Togaviridae; Alphavirus; SFV complex	2	Anopheles; Homo sapiens
Omsk hemorrhagic fever virus	12542	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; tick-borne encephalitis virus group	5	Arvicola amphibius; Dermacentor reticulatus; Homo sapiens; Ixodes; Ondatra zibethicus
Orf virus	10258	dsDNA viruses, no RNA stage; Poxviridae; Chordopoxvirinae; Parapoxvirus	3	Capra hircus; Homo sapiens; Ovis aries
Oropouche virus	118655	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Orthobunyavirus	2	Bradypus tridactylus; Homo sapiens
Papiine herpesvirus 2	340907	dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Simplexvirus	6	Homo sapiens; Macaca fascicularis; Macaca leonina; Macaca mulatta; Macaca nemestrina; Papio cynocephalus
Parainfluenza virus 5	11207	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Rubulavirus	2	Canis lupus familiaris; Homo sapiens
Parvovirus NIH-CQV	1341019	ssDNA viruses; Parvoviridae; Parvovirinae; unclassified Parvovirinae	1	Homo sapiens
Pichinde mammarenavirus	11630	ssRNA viruses; ssRNA negative-strand viruses; Arenaviridae; Mammarenavirus	3	Cavia cutleri; Homo sapiens; Nephelomys albigularis
Powassan virus	11083	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; tick-borne encephalitis virus group	7	Dermacentor andersoni; Homo sapiens; Ixodes cookei; Ixodes scapularis; Ixodes spinipalpis; Lepus americanus; Marmota monax
Punta Toro virus	11587	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus	2	Homo sapiens; Phlebotomus papatasi
Puumala virus	11604	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Hantavirus	2	Homo sapiens; Myodes glareolus
Rabies virus	11292	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Lyssavirus	16	Bos taurus; Canis lupus; Canis lupus familiaris; Capra hircus; Chiroptera; Equus caballus; Felis catus; Homo sapiens; Mammalia; Melogale moschata; Mephitidae; Nyctereutes procyonoides; Ovis aries; Rattus norvegicus; Sus scrofa; Urocyon cinereoargenteus
Ralstonia phage 1 NP-2014	1460070	ssDNA viruses; Inoviridae; unclassified Inoviridae	1	Homo sapiens
Respiratory syncytial virus	12814	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Pneumovirinae; Pneumovirus; unclassified Pneumovirus	1	Homo sapiens
Reston ebolavirus	186539	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Filoviridae; Ebolavirus	4	Epomops franqueti; Homo sapiens; Myonycteris torquata; Sus scrofa
Rhinovirus A	147711	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Enterovirus	1	Homo sapiens
Rhinovirus C	463676	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Enterovirus	1	Homo sapiens
Rift Valley fever virus	11588	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus	8	Aedes; Bos taurus; Bos taurus x Bison bison; Camelus bactrianus; Capra hircus; Homo sapiens; Ovis aries; Phlebotomus papatasi
Rio Bravo virus	64285	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; Rio Bravo virus group	4	Eptesicus fuscus; Homo sapiens; Molossus ater; Tadarida brasiliensis mexicana
Rosavirus A2	1511807	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Rosavirus; Rosavirus A	1	Homo sapiens
Ross River virus	11029	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Togaviridae; Alphavirus; SFV complex	4	Aedes; Culex annulirostris; Homo sapiens; Macropus sp.
Rotavirus A	28875	dsRNA viruses; Reoviridae; Sedoreovirinae; Rotavirus	2	Chlorocebus pygerythrus; Homo sapiens
Rotavirus C	36427	dsRNA viruses; Reoviridae; Sedoreovirinae; Rotavirus	1	Homo sapiens
Rubella virus	11041	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Togaviridae; Rubivirus	1	Homo sapiens
SARS coronavirus	227859	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Coronaviridae; Coronavirinae; Betacoronavirus; Severe acute respiratory syndrome-related coronavirus	2	Homo sapiens; Paguma larvata
SFTS virus HB29	992212	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus; unclassified Phlebovirus; Severe fever with thrombocytopenia syndrome virus	1	Homo sapiens
STL polyomavirus	1277649	dsDNA viruses, no RNA stage; Polyomaviridae; Polyomavirus; unclassified Polyomavirus	1	Homo sapiens
Sabia mammarenavirus	45709	ssRNA viruses; ssRNA negative-strand viruses; Arenaviridae; Mammarenavirus	1	Homo sapiens
Saffold virus	434309	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Cardiovirus; Theilovirus	2	Homo sapiens; Mus musculus
Salivirus A	1330524	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Salivirus	1	Homo sapiens
Salivirus FHB	1547495	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Salivirus; unclassified Salivirus	1	Homo sapiens
Salivirus NG-J1	651733	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Salivirus; Salivirus A	2	Homo sapiens; Pan troglodytes
Sandfly fever Naples virus	206160	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus	2	Homo sapiens; Phlebotomus perniciosus
Sandfly fever Turkey virus	688699	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus; unclassified Phlebovirus; Sandfly fever Sicilian virus	1	Homo sapiens
Sapovirus C12	290314	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Caliciviridae; Sapovirus; Sapporo virus; Sapovirus GII	1	Homo sapiens
Sapovirus Hu/Dresden/pJG-Sap01/DE	291175	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Caliciviridae; Sapovirus; Sapporo virus; Sapovirus isolates	1	Homo sapiens
Sapovirus Hu/Nagoya/NGY-1/2012/JPN	1280920	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Caliciviridae; Sapovirus; Sapporo virus; Sapovirus isolates	1	Homo sapiens
Sapovirus Mc10	234601	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Caliciviridae; Sapovirus; Sapporo virus; Sapovirus GII	1	Homo sapiens
Semliki Forest virus	11033	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Togaviridae; Alphavirus; SFV complex	7	Aedes; Atelerix albiventris; Culex tritaeniorhynchus; Halcyon; Homo sapiens; Quelea; Rhipicephalus
Seoul virus	11608	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Hantavirus	4	Chlorocebus aethiops; Homo sapiens; Rattus norvegicus; Rattus rattus
Simian foamy virus	11642	Retro-transcribing viruses; Retroviridae; Spumaretrovirinae; Spumavirus	2	Homo sapiens; Pan troglodytes
Sin Nombre virus	37705	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Hantavirus	2	Homo sapiens; Peromyscus maniculatus
Sindbis virus	11034	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Togaviridae; Alphavirus; WEEV complex	6	Acrocephalus scirpaceus; Aedes; Culex; Homo sapiens; Motacilla alba; Streptopelia turtur
Small anellovirus 1	289366	ssDNA viruses; Anelloviridae; unclassified Anelloviridae; Small anellovirus	1	Homo sapiens
Small anellovirus 2	289367	ssDNA viruses; Anelloviridae; unclassified Anelloviridae; Small anellovirus	1	Homo sapiens
Sosuga virus	1452514	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Rubulavirus; unclassified Rubulavirus	1	Homo sapiens
St. Louis encephalitis virus	11080	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; Japanese encephalitis virus group	7	Culex nigripalpus; Culex quinquefasciatus; Culicidae; Dasypodidae; Dromaius novaehollandiae; Homo sapiens; Passer domesticus
Sudan ebolavirus	186540	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Filoviridae; Ebolavirus	3	Epomops franqueti; Homo sapiens; Myonycteris torquata
TTV-like mini virus	93678	ssDNA viruses; Anelloviridae; unclassified Anelloviridae	1	Homo sapiens
Tai Forest ebolavirus	186541	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Filoviridae; Ebolavirus	1	Homo sapiens
Tanapox virus	99000	dsDNA viruses, no RNA stage; Poxviridae; Chordopoxvirinae; Yatapoxvirus	1	Homo sapiens
Titi monkey adenovirus ECC-2011	994672	dsDNA viruses, no RNA stage; Adenoviridae; unclassified Adenoviridae	2	Callicebus cupreus; Homo sapiens
Torque teno midi virus 1	687379	ssDNA viruses; Anelloviridae; Gammatorquevirus	1	Homo sapiens
Torque teno midi virus 2	687380	ssDNA viruses; Anelloviridae; Gammatorquevirus	1	Homo sapiens
Torque teno mini virus 1	687369	ssDNA viruses; Anelloviridae; Betatorquevirus	1	Homo sapiens
Torque teno mini virus 2	687370	ssDNA viruses; Anelloviridae; Betatorquevirus	1	Homo sapiens
Torque teno mini virus 3	687371	ssDNA viruses; Anelloviridae; Betatorquevirus	1	Homo sapiens
Torque teno mini virus 5	687373	ssDNA viruses; Anelloviridae; Betatorquevirus	1	Homo sapiens
Torque teno mini virus 6	687374	ssDNA viruses; Anelloviridae; Betatorquevirus	1	Homo sapiens
Torque teno mini virus 7	687375	ssDNA viruses; Anelloviridae; Betatorquevirus	1	Homo sapiens
Torque teno mini virus 8	687376	ssDNA viruses; Anelloviridae; Betatorquevirus	1	Homo sapiens
Torque teno mini virus 9	687377	ssDNA viruses; Anelloviridae; Betatorquevirus	1	Homo sapiens
Torque teno mini virus ALA22	1535290	ssDNA viruses; Anelloviridae; Betatorquevirus; unclassified Betatorquevirus	1	Homo sapiens
Torque teno mini virus ALH8	1535291	ssDNA viruses; Anelloviridae; Betatorquevirus; unclassified Betatorquevirus	1	Homo sapiens
Torque teno virus	68887	ssDNA viruses; Anelloviridae; unclassified Anelloviridae	1	Homo sapiens
Torque teno virus 1	687340	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 10	687349	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 12	687351	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 15	687354	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 16	687355	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 19	687358	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 25	687364	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 27	687366	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 28	687367	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 3	687342	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 4	687343	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 6	687345	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 7	687346	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Torque teno virus 8	687347	ssDNA viruses; Anelloviridae; Alphatorquevirus	1	Homo sapiens
Trichodysplasia spinulosa-associated polyomavirus	862909	dsDNA viruses, no RNA stage; Polyomaviridae; Polyomavirus; unclassified Polyomavirus	1	Homo sapiens
Tula virus	37133	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Hantavirus	3	Homo sapiens; Microtus arvalis; Microtus levis
Uncultured phage WW-nAnB strain 2	1449896	ssDNA viruses; Inoviridae; environmental samples	1	Homo sapiens
Uncultured phage WW-nAnB strain 3	1449897	ssDNA viruses; Inoviridae; environmental samples	1	Homo sapiens
Uukuniemi virus	11591	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus	2	Homo sapiens; Ixodes ricinus
Vaccinia virus	10245	dsDNA viruses, no RNA stage; Poxviridae; Chordopoxvirinae; Orthopoxvirus	2	Bos taurus; Homo sapiens
Variola virus	10255	dsDNA viruses, no RNA stage; Poxviridae; Chordopoxvirinae; Orthopoxvirus	1	Homo sapiens
Venezuelan equine encephalitis virus	11036	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Togaviridae; Alphavirus; VEEV complex	9	Bos taurus; Didelphis marsupialis; Equus asinus; Equus caballus; Homo sapiens; Melanoconion; Philander opossum; Proechimys; Sigmodon hispidus
Vesicular stomatitis Indiana virus	11277	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Vesiculovirus	10	Aedes; Bos taurus; Culicoides; Equus asinus; Equus caballus; Homo sapiens; Lutzomyia; Musca domestica; Simuliidae; Sus scrofa
WU Polyomavirus	440266	dsDNA viruses, no RNA stage; Polyomaviridae; Polyomavirus; unclassified Polyomavirus	1	Homo sapiens
Wesselsbron virus	164416	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; Yellow fever virus group	2	Homo sapiens; Ovis aries
