name	taxid	lineage	N	host
Cosavirus JMY-2014	1582094	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Cosavirus; unclassified Cosavirus	1	Homo sapiens
Cowpox virus	10243	dsDNA viruses, no RNA stage; Poxviridae; Chordopoxvirinae; Orthopoxvirus	31	Acinonyx jubatus; Ailurus fulgens; Apodemus sylvaticus; Bos taurus; Callithrix jacchus; Canis lupus familiaris; Castor fiber; Ceratotherium simum simum; Diceros bicornis; Elephas maximus; Equus caballus; Felis catus; Felis silvestris; Homo sapiens; Leopardus pardalis; Loxodonta africana; Meriones libycus; Microtus agrestis; Mungos mungo; Mus musculus; Myodes glareolus; Okapia johnstoni; Panthera leo; Panthera onca; Panthera pardus; Puma concolor; Puma yagouaroundi; Rattus norvegicus; Rhombomys opimus; Sorex araneus; Tapirus indicus
Crimean-Congo hemorrhagic fever virus	11593	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Nairovirus	7	Bos taurus; Capra hircus; Homo sapiens; Hyalomma; Hyalomma excavatum; Ovis aries; Rhipicephalus microplus
Cyclovirus VN	1348500	ssDNA viruses; Circoviridae; unclassified Circoviridae; suggested genus Cyclovirus	1	Homo sapiens
Dengue virus 1	11053	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; Dengue virus group; Dengue virus	3	Aedes aegypti; Aedes albopictus; Homo sapiens
Dengue virus 2	11060	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; Dengue virus group; Dengue virus	5	Aedes aegypti; Aedes furcifer; Aedes taylori; Erythrocebus patas; Homo sapiens
Dengue virus 3	11069	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; Dengue virus group; Dengue virus	5	Aedimorphus; Diceromyia; Erythrocebus patas; Homo sapiens; Stegomyia
Dengue virus 4	11070	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; Dengue virus group; Dengue virus	4	Aedes aegypti; Aedes albopictus; Aedes polynesiensis; Homo sapiens
Dugbe virus	11595	ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Nairovirus	8	Amblyomma variegatum; Homo sapiens; Hyalomma marginatum rufipes; Hyalomma truncatum; Rhipicephalus; Rhipicephalus annulatus; Rhipicephalus decoloratus; Rhipicephalus geigyi
Duvenhage virus	38767	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Lyssavirus	2	Homo sapiens; Mammalia
Eastern equine encephalitis virus	11021	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Togaviridae; Alphavirus; EEEV complex	6	Aedes; Culiseta melanura; Equus caballus; Homo sapiens; Ochlerotatus canadensis; Passeriformes
Encephalomyocarditis virus	12104	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Cardiovirus	4	Homo sapiens; Mus musculus; Sigmodon hispidus; Sus scrofa
Enterovirus A	138948	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Enterovirus	1	Homo sapiens
Enterovirus B	138949	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Enterovirus	1	Homo sapiens
Enterovirus C	138950	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Enterovirus	1	Homo sapiens
Enterovirus D	138951	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Enterovirus	1	Homo sapiens
Enterovirus H	310907	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Enterovirus	2	Homo sapiens; Saguinus mystax
European bat lyssavirus 1	57482	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Lyssavirus	3	Eptesicus serotinus; Homo sapiens; Mammalia
European bat lyssavirus 2	57483	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Lyssavirus	2	Homo sapiens; Mammalia
GB virus C	54290	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Pegivirus; unclassified Pegivirus	1	Homo sapiens
Gemycircularvirus SL1	1588764	unclassified viruses; Gemycircularvirus group	1	Homo sapiens
